experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.1300,0.0700,0.2900,7,29,13
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.1500,0.2900,0.3000,29,30,15
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2100,0.2400,0.2500,24,25,21
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.2800,0.8500,0.2800,85,28,28
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.5900,0.2700,0.2200,27,22,59
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.2600,0.6900,0.3000,69,30,26
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.2100,0.3200,0.2900,32,29,21
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.1100,0.2500,0.3200,25,32,11
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.2100,0.2800,0.3100,28,31,21
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0200,0.0500,0.3200,5,32,2
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.0800,0.3500,0.2700,35,27,8
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.0200,0.1100,0.2700,11,27,2
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5600,0.5600,0.6900,56,69,56
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3500,0.3900,0.7200,39,72,35
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.1800,0.1600,0.7400,16,74,18
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.7800,0.8100,0.7400,81,74,78
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.7700,0.7800,0.6800,78,68,77
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.7200,0.7600,0.7500,76,75,72
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3500,0.3400,0.6700,34,67,35
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.3700,0.3500,0.7400,35,74,37
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.2000,0.2100,0.7500,21,75,20
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0800,0.0800,0.6900,8,69,8
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1700,0.2100,0.7500,21,75,17
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.1300,0.1600,0.7100,16,71,13
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0600,0.2800,0.0000,28,0,6
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.3700,0.2900,0.7800,29,78,37
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6600,0.6000,0.8000,60,80,66
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.3600,0.3200,0.7900,32,79,36
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.8800,0.8600,0.8100,86,81,88
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.8800,0.7600,0.7800,76,78,88
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.7400,0.7100,0.7800,71,78,74
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.7400,0.7700,0.8100,77,81,74
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3300,0.3000,0.7800,30,78,33
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2500,0.2000,0.7900,20,79,25
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.1100,0.1400,0.7600,14,76,11
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.2100,0.2500,0.7800,25,78,21
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0400,0.0600,0.7600,6,76,4
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9855,0.0000,68,0,0
