experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.3400,0.5000,0.3800,50,38,34
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.3300,0.4100,0.4300,41,43,33
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.3100,0.4500,0.4000,45,40,31
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.2200,0.3500,0.4100,35,41,22
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.4700,0.6000,0.4700,60,47,47
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.1900,0.3800,0.4200,38,42,19
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.3500,0.6000,0.3600,60,36,35
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.3300,0.5800,0.4200,58,42,33
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.0100,0.0500,0.4300,5,43,1
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0800,0.1700,0.4300,17,43,8
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.0200,0.0100,0.4600,1,46,2
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.1500,0.2800,0.4300,28,43,15
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.2400,0.2500,0.5600,25,56,24
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3100,0.4400,0.5400,44,54,31
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.4100,0.4700,0.5500,47,55,41
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.2300,0.3600,0.5300,36,53,23
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.3200,0.4400,0.5600,44,56,32
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.1900,0.2500,0.5500,25,55,19
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.2300,0.3500,0.4300,35,43,23
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.2200,0.3100,0.5200,31,52,22
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.0800,0.0900,0.5400,9,54,8
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.1300,0.1500,0.6000,15,60,13
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1900,0.1700,0.5600,17,56,19
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.1400,0.2000,0.4800,20,48,14
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0100,0.4700,0.0000,47,0,1
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.2600,0.2600,0.6200,26,62,26
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.4300,0.4600,0.6600,46,66,43
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.2900,0.3000,0.6200,30,62,29
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.2900,0.2700,0.6800,27,68,29
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.4200,0.4900,0.6700,49,67,42
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.2300,0.2700,0.6600,27,66,23
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.3100,0.3900,0.5900,39,59,31
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3100,0.3900,0.6400,39,64,31
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2000,0.2200,0.6300,22,63,20
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.2000,0.2600,0.6300,26,63,20
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.2600,0.2700,0.6500,27,65,26
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.1900,0.2000,0.6300,20,63,19
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9800,0.0000,98,0,0
