experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.2600,0.3300,0.4000,33,40,26
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.1300,0.1100,0.4400,11,44,13
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.4100,0.4400,0.4000,44,40,41
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.4900,0.8200,0.4700,82,47,49
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.6500,0.4400,0.4000,44,40,65
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.4600,0.6800,0.4700,68,47,46
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.1000,0.1900,0.4200,19,42,10
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.2400,0.4100,0.4000,41,40,24
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.2400,0.2100,0.4200,21,42,24
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.2900,0.4200,0.4900,42,49,29
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.0900,0.1600,0.4100,16,41,9
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.2400,0.4200,0.4300,42,43,24
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.3500,0.4100,0.4800,41,48,35
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.4900,0.5000,0.5300,50,53,49
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.4500,0.5500,0.5400,55,54,45
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.5700,0.5900,0.6200,59,62,57
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.5500,0.4700,0.5600,47,56,55
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.4500,0.6000,0.5400,60,54,45
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.1700,0.2500,0.5500,25,55,17
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.3900,0.4300,0.5100,43,51,39
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.4600,0.5300,0.5400,53,54,46
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.3500,0.4400,0.5400,44,54,35
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.0800,0.1100,0.5300,11,53,8
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.3900,0.4800,0.5300,48,53,39
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0200,0.5000,0.0000,50,0,2
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.4200,0.3700,0.6300,37,63,42
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6000,0.5200,0.6300,52,63,60
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.5500,0.6400,0.5500,64,55,55
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.6400,0.6100,0.6800,61,68,64
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.7000,0.6600,0.6200,66,62,70
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.4900,0.5700,0.6400,57,64,49
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.2100,0.1800,0.6700,18,67,21
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3600,0.4100,0.5800,41,58,36
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.6200,0.6100,0.6300,61,63,62
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.4600,0.5200,0.5900,52,59,46
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.2700,0.2600,0.6600,26,66,27
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.4500,0.4400,0.6800,44,68,45
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9800,0.0000,98,0,0
