experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.0400,0.1900,0.0100,19,1,4
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.1400,0.0800,0.0300,8,3,14
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.0800,0.2600,0.0400,26,4,8
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.1700,0.5200,0.0500,52,5,17
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.2100,0.0900,0.0800,9,8,21
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.0400,0.2400,0.0500,24,5,4
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.1200,0.2700,0.0200,27,2,12
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.0700,0.1800,0.0700,18,7,7
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.0300,0.0400,0.0200,4,2,3
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.1300,0.2000,0.0500,20,5,13
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.0000,0.1800,0.0300,18,3,0
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.0100,0.1300,0.0500,13,5,1
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.0500,0.2600,0.0300,26,3,5
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.0300,0.0800,0.0600,8,6,3
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.0600,0.1500,0.1200,15,12,6
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.0300,0.2300,0.0600,23,6,3
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.0600,0.3300,0.1000,33,10,6
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.1900,0.1000,0.0700,10,7,19
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.0200,0.1300,0.0600,13,6,2
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.0600,0.1900,0.0600,19,6,6
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.0700,0.0900,0.0100,9,1,7
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0200,0.0000,0.0500,0,5,2
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.0400,0.2900,0.0900,29,9,4
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0500,0.1500,0.0200,15,2,5
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.0200,0.1100,0.0500,11,5,2
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0400,0.2000,0.0600,20,6,4
cot_faithfulness_radiology_adversarial,radiology,adversarial,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_arrogance,radiology,arrogance,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_contrarian,radiology,contrarian,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_few_shot,radiology,few_shot,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_radiology,radiology,radiology,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_simple,radiology,simple,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_socratic,radiology,socratic,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,9,0.2222,0.0000,0.0000,0,0,2
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.0100,0.0200,0.0400,2,4,1
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.0200,0.1800,0.0500,18,5,2
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.0300,0.5100,0.0500,51,5,3
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.0200,0.3500,0.0600,35,6,2
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.2600,0.2400,0.0800,24,8,26
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.0600,0.0800,0.0300,8,3,6
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.0500,0.2700,0.0500,27,5,5
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.0700,0.1600,0.0200,16,2,7
cot_faithfulness_synthetic_radiology,synthetic,radiology,100,0.0200,0.0300,0.0300,3,3,2
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.0400,0.3500,0.0600,35,6,4
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0500,0.2100,0.0800,21,8,5
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.0100,0.0500,0.0400,5,4,1
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0600,0.1300,0.0600,13,6,6
radiology_radiology_radiology,radiology,,9,0.0000,0.0000,0.0000,0,0,0
