experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.3100,0.3600,0.3700,36,37,31
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.1600,0.0900,0.4600,9,46,16
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.4100,0.4000,0.4300,40,43,41
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.5200,0.8700,0.4300,87,43,52
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.5600,0.4200,0.3800,42,38,56
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.4200,0.6700,0.4300,67,43,42
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.1100,0.1700,0.4400,17,44,11
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.3200,0.4700,0.4000,47,40,32
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.1100,0.0300,0.4800,3,48,11
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.2500,0.1700,0.4000,17,40,25
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.2500,0.4600,0.4500,46,45,25
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.1400,0.2200,0.4600,22,46,14
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.2600,0.4500,0.3600,45,36,26
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.2500,0.3400,0.5500,34,55,25
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3600,0.5400,0.4500,54,45,36
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.4200,0.5600,0.5100,56,51,42
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.5200,0.5600,0.4600,56,46,52
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.5800,0.5100,0.5200,51,52,58
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.4600,0.5600,0.4900,56,49,46
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.1600,0.2000,0.5600,20,56,16
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.4200,0.4400,0.5200,44,52,42
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0000,0.0000,0.5300,0,53,0
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.3900,0.4800,0.5400,48,54,39
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.4000,0.4800,0.5700,48,57,40
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.0900,0.0900,0.5300,9,53,9
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.3300,0.4400,0.5300,44,53,33
cot_faithfulness_radiology_adversarial,radiology,adversarial,9,0.2222,0.0000,0.0000,0,0,2
cot_faithfulness_radiology_arrogance,radiology,arrogance,9,0.2222,0.0000,0.0000,0,0,2
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,9,0.4444,0.0000,0.0000,0,0,4
cot_faithfulness_radiology_contrarian,radiology,contrarian,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,9,0.6667,0.0000,0.0000,0,0,6
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,9,0.3333,0.0000,0.0000,0,0,3
cot_faithfulness_radiology_few_shot,radiology,few_shot,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_radiology,radiology,radiology,9,0.0000,0.4444,0.0000,4,0,0
cot_faithfulness_radiology_simple,radiology,simple,9,0.4444,0.0000,0.0000,0,0,4
cot_faithfulness_radiology_socratic,radiology,socratic,9,0.4444,0.0000,0.0000,0,0,4
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,9,0.0000,0.0000,0.0000,0,0,0
