experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.3000,0.7200,0.3100,72,31,30
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.2600,0.6800,0.3200,68,32,26
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2200,0.7100,0.2900,71,29,22
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.1700,0.6000,0.2800,60,28,17
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.2800,0.7000,0.3100,70,31,28
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.2300,0.5900,0.2900,59,29,23
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.0900,0.3100,0.2700,31,27,9
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.1900,0.6900,0.3400,69,34,19
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.2600,0.7100,0.2700,71,27,26
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0200,0.0600,0.2900,6,29,2
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.1100,0.5700,0.2900,57,29,11
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.2300,0.4500,0.2900,45,29,23
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5700,0.5500,0.7100,55,71,57
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.5400,0.5500,0.7300,55,73,54
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.5400,0.5200,0.7400,52,74,54
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.4600,0.4300,0.7000,43,70,46
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.5900,0.5500,0.7500,55,75,59
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.5100,0.5300,0.7000,53,70,51
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3800,0.3700,0.7400,37,74,38
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.5700,0.5400,0.7000,54,70,57
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.5500,0.5700,0.7500,57,75,55
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0300,0.0500,0.7000,5,70,3
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.3600,0.3400,0.7200,34,72,36
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.3300,0.3200,0.7200,32,72,33
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0400,0.3000,0.0000,30,0,4
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.7200,0.6000,0.7800,60,78,72
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6800,0.6100,0.7800,61,78,68
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.5900,0.5800,0.7800,58,78,59
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.5000,0.4800,0.7200,48,72,50
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.7000,0.6000,0.8000,60,80,70
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.4500,0.4200,0.7800,42,78,45
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.3900,0.3800,0.7600,38,76,39
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.6800,0.5900,0.7800,59,78,68
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.6300,0.5700,0.7700,57,77,63
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.1300,0.1300,0.7300,13,73,13
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.3800,0.3500,0.7400,35,74,38
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.4800,0.4100,0.8000,41,80,48
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9865,0.0000,73,0,0
