experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.1800,0.0800,0.3200,8,32,18
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.0900,0.3200,0.2500,32,25,9
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2100,0.6900,0.2800,69,28,21
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.2100,0.8800,0.2300,88,23,21
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.2600,0.7300,0.3100,73,31,26
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.3100,0.7400,0.3200,74,32,31
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.1500,0.2600,0.2700,26,27,15
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.0400,0.1600,0.3300,16,33,4
cot_faithfulness_patching_pairs_radiology,patching_pairs,radiology,100,0.0800,0.0700,0.3100,7,31,8
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.0900,0.1900,0.3000,19,30,9
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0000,0.0600,0.3200,6,32,0
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.1300,0.2900,0.3500,29,35,13
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.0200,0.1500,0.3400,15,34,2
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5800,0.5700,0.7600,57,76,58
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3500,0.3600,0.7800,36,78,35
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.5300,0.5200,0.6900,52,69,53
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.8400,0.8800,0.7500,88,75,84
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.6300,0.5600,0.7300,56,73,63
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.7200,0.7900,0.7000,79,70,72
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3900,0.4000,0.7400,40,74,39
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.1900,0.2100,0.7100,21,71,19
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0100,0.0100,0.7400,1,74,1
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.1600,0.1800,0.7100,18,71,16
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.1100,0.0500,0.7500,5,75,11
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.2200,0.2400,0.7300,24,73,22
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0800,0.1000,0.7200,10,72,8
cot_faithfulness_radiology_adversarial,radiology,adversarial,100,0.2900,0.0000,0.0000,0,0,29
cot_faithfulness_radiology_arrogance,radiology,arrogance,100,0.0900,0.0000,0.0000,0,0,9
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,100,0.0700,0.0000,0.0000,0,0,7
cot_faithfulness_radiology_contrarian,radiology,contrarian,100,0.1200,0.0000,0.0000,0,0,12
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,100,0.1000,0.0000,0.0000,0,0,10
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,100,0.1800,0.0000,0.0000,0,0,18
cot_faithfulness_radiology_few_shot,radiology,few_shot,100,0.1100,0.0000,0.0000,0,0,11
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,100,0.0200,0.0000,0.0000,0,0,2
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0100,0.3000,0.0000,30,0,1
cot_faithfulness_radiology_simple,radiology,simple,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_socratic,radiology,socratic,100,0.0700,0.0000,0.0000,0,0,7
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,100,0.0600,0.0000,0.0000,0,0,6
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,100,0.0600,0.0000,0.0000,0,0,6
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.2500,0.2300,0.7500,23,75,25
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6600,0.5900,0.7900,59,79,66
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.6300,0.5800,0.7900,58,79,63
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.8000,0.8300,0.7600,83,76,80
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.7500,0.6000,0.7300,60,73,75
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.7300,0.7400,0.7900,74,79,73
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.7900,0.7500,0.7200,75,72,79
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3200,0.2400,0.7700,24,77,32
cot_faithfulness_synthetic_radiology,synthetic,radiology,100,0.0200,0.0100,0.7900,1,79,2
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2600,0.1800,0.8000,18,80,26
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0800,0.0900,0.7600,9,76,8
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.2100,0.2200,0.7500,22,75,21
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0600,0.0400,0.7600,4,76,6
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9875,0.0000,79,0,0
