experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.0700,0.2300,0.0700,23,7,7
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.1400,0.1600,0.0500,16,5,14
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.0600,0.2300,0.0600,23,6,6
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.1300,0.6200,0.0600,62,6,13
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.1900,0.1100,0.0300,11,3,19
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.0100,0.3800,0.0500,38,5,1
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.1000,0.4700,0.0400,47,4,10
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.0800,0.2600,0.0600,26,6,8
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.0500,0.1500,0.0800,15,8,5
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.1000,0.3200,0.0200,32,2,10
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.0100,0.1600,0.0500,16,5,1
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.0200,0.1500,0.0700,15,7,2
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.0200,0.3300,0.0300,33,3,2
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.0500,0.1000,0.0500,10,5,5
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.0700,0.3100,0.0600,31,6,7
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.0400,0.2500,0.0300,25,3,4
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.0900,0.3100,0.0400,31,4,9
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.1700,0.1900,0.0500,19,5,17
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.0600,0.1800,0.0200,18,2,6
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.1400,0.1900,0.0300,19,3,14
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.1400,0.0800,0.0600,8,6,14
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0100,0.0000,0.0700,0,7,1
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.0300,0.2600,0.0400,26,4,3
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0400,0.0900,0.0600,9,6,4
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.0300,0.1200,0.0400,12,4,3
