experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.0100,0.0800,0.4600,8,46,1
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.0900,0.4500,0.5600,45,56,9
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.1200,0.3700,0.5100,37,51,12
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.0600,0.4000,0.5000,40,50,6
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.2000,0.5900,0.5000,59,50,20
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.0900,0.8300,0.5200,83,52,9
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.2000,0.6100,0.5900,61,59,20
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.0700,0.4100,0.5400,41,54,7
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.0300,0.1200,0.4700,12,47,3
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.1700,0.2300,0.5500,23,55,17
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.1100,0.5500,0.5100,55,51,11
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.1600,0.6000,0.5300,60,53,16
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.1100,0.3600,0.5100,36,51,11
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.0300,0.2000,0.2600,20,26,3
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.1500,0.4700,0.3500,47,35,15
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.0700,0.2700,0.1800,27,18,7
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.1100,0.3100,0.3700,31,37,11
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.2300,0.3700,0.3200,37,32,23
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.1800,0.6300,0.2300,63,23,18
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.1300,0.6000,0.2300,60,23,13
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.0800,0.2600,0.2500,26,25,8
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0500,0.0000,0.3100,0,31,5
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.2100,0.4000,0.3200,40,32,21
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0900,0.2600,0.2500,26,25,9
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1600,0.5300,0.3200,53,32,16
