experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.1600,0.1900,0.3300,19,33,16
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.2200,0.3000,0.2900,30,29,22
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.1900,0.3700,0.3500,37,35,19
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.3000,0.6400,0.3400,64,34,30
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.3200,0.2200,0.2500,22,25,32
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.3500,0.6500,0.3300,65,33,35
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.2300,0.3100,0.3600,31,36,23
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.1800,0.2600,0.4000,26,40,18
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.0500,0.0800,0.3000,8,30,5
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.2700,0.4100,0.3000,41,30,27
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.2200,0.5000,0.3300,50,33,22
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.2000,0.2900,0.3000,29,30,20
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.1200,0.3300,0.2900,33,29,12
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.2000,0.2100,0.5800,21,58,20
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.4400,0.4700,0.5600,47,56,44
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.1700,0.2100,0.5600,21,56,17
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.4500,0.5200,0.5300,52,53,45
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.6000,0.5800,0.5500,58,55,60
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.5100,0.4800,0.5600,48,56,51
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3400,0.3800,0.5600,38,56,34
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.2400,0.2500,0.5900,25,59,24
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0000,0.0000,0.5300,0,53,0
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.3500,0.3800,0.6000,38,60,35
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.3100,0.3300,0.5300,33,53,31
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1700,0.1400,0.5700,14,57,17
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.1300,0.1100,0.5700,11,57,13
cot_faithfulness_radiology_adversarial,radiology,adversarial,9,0.0000,0.0000,0.0000,0,0,0
