experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching,pairs_adversarial,100,0.1100,0.0500,0.3000,5,30,11
cot_faithfulness_patching_pairs_arrogance,patching,pairs_arrogance,100,0.1300,0.2800,0.2700,28,27,13
cot_faithfulness_patching_pairs_chain_of_thought,patching,pairs_chain_of_thought,100,0.2300,0.2700,0.2800,27,28,23
cot_faithfulness_patching_pairs_contrarian,patching,pairs_contrarian,100,0.2400,0.8400,0.2700,84,27,24
cot_faithfulness_patching_pairs_direct_answer,patching,pairs_direct_answer,100,0.4900,0.3000,0.3200,30,32,49
cot_faithfulness_patching_pairs_expert_persona,patching,pairs_expert_persona,100,0.2700,0.7100,0.2700,71,27,27
cot_faithfulness_patching_pairs_few_shot,patching,pairs_few_shot,100,0.2400,0.3100,0.3200,31,32,24
cot_faithfulness_patching_pairs_no_instruction,patching,pairs_no_instruction,100,0.0600,0.2200,0.2800,22,28,6
cot_faithfulness_patching_pairs_radiology,patching,pairs_radiology,100,0.0000,0.0500,0.2500,5,25,0
cot_faithfulness_patching_pairs_simple,patching,pairs_simple,100,0.1200,0.2400,0.3100,24,31,12
cot_faithfulness_patching_pairs_socratic,patching,pairs_socratic,100,0.0400,0.0500,0.2800,5,28,4
cot_faithfulness_patching_pairs_sycophantic,patching,pairs_sycophantic,100,0.1200,0.3000,0.2800,30,28,12
cot_faithfulness_patching_pairs_uncertainty,patching,pairs_uncertainty,100,0.0900,0.1700,0.2700,17,27,9
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5500,0.5400,0.7400,54,74,55
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3500,0.3600,0.7100,36,71,35
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.1700,0.1600,0.7500,16,75,17
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.7800,0.7900,0.7800,79,78,78
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.8000,0.7600,0.6900,76,69,80
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.7700,0.8100,0.7700,81,77,77
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3500,0.3900,0.7200,39,72,35
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.2300,0.2900,0.7000,29,70,23
cot_faithfulness_pediatrics_radiology,pediatrics,radiology,100,0.0200,0.0000,0.7100,0,71,2
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.1900,0.1800,0.7400,18,74,19
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.1100,0.0600,0.7600,6,76,11
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1900,0.2300,0.7200,23,72,19
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0600,0.0600,0.6900,6,69,6
cot_faithfulness_radiology_adversarial,radiology,adversarial,9,0.2222,0.0000,0.0000,0,0,2
cot_faithfulness_radiology_arrogance,radiology,arrogance,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_contrarian,radiology,contrarian,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,9,0.5556,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,9,0.2222,0.0000,0.0000,0,0,2
cot_faithfulness_radiology_few_shot,radiology,few_shot,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_radiology,radiology,radiology,9,0.0000,0.3333,0.0000,3,0,0
cot_faithfulness_radiology_simple,radiology,simple,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_socratic,radiology,socratic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.3200,0.2800,0.7800,28,78,32
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6900,0.6300,0.7900,63,79,69
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.2600,0.2500,0.7800,25,78,26
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.7900,0.8200,0.7900,82,79,79
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.9300,0.7800,0.7600,78,76,93
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.7400,0.7600,0.8000,76,80,74
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.7400,0.7500,0.7700,75,77,74
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3100,0.3100,0.7700,31,77,31
cot_faithfulness_synthetic_radiology,synthetic,radiology,100,0.0300,0.0000,0.7500,0,75,3
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2000,0.1200,0.7600,12,76,20
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0700,0.0800,0.8000,8,80,7
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.2100,0.1700,0.7600,17,76,21
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0800,0.0600,0.7700,6,77,8
radiology_radiology_radiology,radiology,,9,0.0000,0.8750,0.0000,7,0,0
