experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.1600,0.0800,0.2700,8,27,16
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.1800,0.3100,0.3500,31,35,18
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2000,0.3200,0.3100,32,31,20
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.3100,0.8800,0.3100,88,31,31
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.6500,0.3000,0.3300,30,33,65
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.2600,0.7700,0.2600,77,26,26
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.1900,0.3900,0.2600,39,26,19
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.1000,0.2200,0.3400,22,34,10
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.2100,0.1800,0.3300,18,33,21
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0200,0.0400,0.3400,4,34,2
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.1100,0.3000,0.3300,30,33,11
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.0200,0.1400,0.3300,14,33,2
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5300,0.5100,0.7300,51,73,53
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3600,0.4000,0.7200,40,72,36
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.1700,0.1600,0.7500,16,75,17
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.7800,0.8100,0.7700,81,77,78
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.7600,0.7600,0.6900,76,69,76
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.7500,0.7500,0.7500,75,75,75
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.3600,0.3500,0.7900,35,79,36
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.2800,0.2900,0.7100,29,71,28
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.1100,0.1500,0.7200,15,72,11
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.1000,0.0600,0.7700,6,77,10
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1900,0.2500,0.6900,25,69,19
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0700,0.0900,0.7400,9,74,7
cot_faithfulness_radiology_adversarial,radiology,adversarial,100,0.2100,0.0000,0.0000,0,0,21
cot_faithfulness_radiology_arrogance,radiology,arrogance,100,0.0900,0.0000,0.0000,0,0,9
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,100,0.1900,0.0000,0.0000,0,0,19
cot_faithfulness_radiology_contrarian,radiology,contrarian,100,0.1100,0.0000,0.0000,0,0,11
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,100,0.4800,0.0000,0.0000,0,0,48
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,100,0.1400,0.0000,0.0000,0,0,14
cot_faithfulness_radiology_few_shot,radiology,few_shot,100,0.1000,0.0000,0.0000,0,0,10
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0300,0.2700,0.0000,27,0,3
cot_faithfulness_radiology_simple,radiology,simple,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_socratic,radiology,socratic,100,0.0300,0.0000,0.0000,0,0,3
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,100,0.0400,0.0000,0.0100,0,1,4
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.3200,0.3000,0.7900,30,79,32
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6600,0.5900,0.7700,59,77,66
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.3300,0.3000,0.7900,30,79,33
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.8000,0.8300,0.8300,83,83,80
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.9200,0.7800,0.7800,78,78,92
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.6800,0.7500,0.7400,75,74,68
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.7300,0.7900,0.7400,79,74,73
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3000,0.2500,0.7600,25,76,30
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2100,0.2600,0.7900,26,79,21
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0400,0.0600,0.7800,6,78,4
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.1600,0.1200,0.7900,12,79,16
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0500,0.0600,0.7800,6,78,5
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9737,0.0000,74,0,0
