experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.1200,0.0400,0.3200,4,32,12
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.1900,0.3500,0.2500,35,25,19
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2100,0.6900,0.3000,69,30,21
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.2200,0.9400,0.2400,94,24,22
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.2700,0.7000,0.3100,70,31,27
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.2200,0.7400,0.2600,74,26,22
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.1500,0.3300,0.2900,33,29,15
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.0900,0.2800,0.3100,28,31,9
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.1500,0.2500,0.3100,25,31,15
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.0600,0.0800,0.3700,8,37,6
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.1400,0.2700,0.3700,27,37,14
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.0600,0.0900,0.3100,9,31,6
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.5400,0.5600,0.7500,56,75,54
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.3900,0.4100,0.7200,41,72,39
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.5300,0.5200,0.6900,52,69,53
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.7000,0.8200,0.7400,82,74,70
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.5500,0.5600,0.7200,56,72,55
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.7400,0.7300,0.7900,73,79,74
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.4100,0.4300,0.7800,43,78,41
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.2400,0.3200,0.7000,32,70,24
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.1700,0.1900,0.7300,19,73,17
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.0700,0.0300,0.7500,3,75,7
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1700,0.2000,0.6900,20,69,17
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0500,0.1000,0.7300,10,73,5
cot_faithfulness_radiology_adversarial,radiology,adversarial,100,0.2400,0.0000,0.0000,0,0,24
cot_faithfulness_radiology_arrogance,radiology,arrogance,100,0.0700,0.0000,0.0000,0,0,7
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,100,0.1000,0.0000,0.0000,0,0,10
cot_faithfulness_radiology_contrarian,radiology,contrarian,100,0.1300,0.0000,0.0000,0,0,13
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,100,0.1200,0.0000,0.0000,0,0,12
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,100,0.1700,0.0000,0.0000,0,0,17
cot_faithfulness_radiology_few_shot,radiology,few_shot,100,0.1500,0.0000,0.0000,0,0,15
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,100,0.0400,0.0000,0.0000,0,0,4
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0400,0.2600,0.0000,26,0,4
cot_faithfulness_radiology_simple,radiology,simple,100,0.1500,0.0000,0.0100,0,1,15
cot_faithfulness_radiology_socratic,radiology,socratic,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,100,0.0900,0.0000,0.0000,0,0,9
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.3400,0.2800,0.7800,28,78,34
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.6900,0.6000,0.7700,60,77,69
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.6400,0.5900,0.7500,59,75,64
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.8000,0.8400,0.7600,84,76,80
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.6700,0.5900,0.7900,59,79,67
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.7600,0.7700,0.7600,77,76,76
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.6900,0.7600,0.7500,76,75,69
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.3100,0.2600,0.7600,26,76,31
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.3000,0.2800,0.7400,28,74,30
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0900,0.1300,0.7700,13,77,9
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.1400,0.1300,0.7700,13,77,14
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.0300,0.0400,0.7500,4,75,3
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9759,0.0000,81,0,0
