experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_patching_pairs_adversarial,patching_pairs,adversarial,100,0.2600,0.2800,0.4300,28,43,26
cot_faithfulness_patching_pairs_arrogance,patching_pairs,arrogance,100,0.1800,0.1300,0.4200,13,42,18
cot_faithfulness_patching_pairs_chain_of_thought,patching_pairs,chain_of_thought,100,0.2900,0.4900,0.4100,49,41,29
cot_faithfulness_patching_pairs_contrarian,patching_pairs,contrarian,100,0.4800,0.8000,0.4500,80,45,48
cot_faithfulness_patching_pairs_direct_answer,patching_pairs,direct_answer,100,0.3600,0.6100,0.3500,61,35,36
cot_faithfulness_patching_pairs_expert_persona,patching_pairs,expert_persona,100,0.4300,0.6700,0.4000,67,40,43
cot_faithfulness_patching_pairs_few_shot,patching_pairs,few_shot,100,0.1400,0.2000,0.4100,20,41,14
cot_faithfulness_patching_pairs_no_instruction,patching_pairs,no_instruction,100,0.2400,0.4600,0.4000,46,40,24
cot_faithfulness_patching_pairs_simple,patching_pairs,simple,100,0.3200,0.2400,0.4500,24,45,32
cot_faithfulness_patching_pairs_socratic,patching_pairs,socratic,100,0.2500,0.4800,0.4100,48,41,25
cot_faithfulness_patching_pairs_sycophantic,patching_pairs,sycophantic,100,0.2000,0.2200,0.4500,22,45,20
cot_faithfulness_patching_pairs_uncertainty,patching_pairs,uncertainty,100,0.2200,0.4200,0.4400,42,44,22
cot_faithfulness_pediatrics_adversarial,pediatrics,adversarial,100,0.4600,0.4700,0.5500,47,55,46
cot_faithfulness_pediatrics_arrogance,pediatrics,arrogance,100,0.4700,0.5600,0.5900,56,59,47
cot_faithfulness_pediatrics_chain_of_thought,pediatrics,chain_of_thought,100,0.3600,0.4900,0.5000,49,50,36
cot_faithfulness_pediatrics_contrarian,pediatrics,contrarian,100,0.4800,0.5900,0.5100,59,51,48
cot_faithfulness_pediatrics_direct_answer,pediatrics,direct_answer,100,0.2600,0.3500,0.5300,35,53,26
cot_faithfulness_pediatrics_expert_persona,pediatrics,expert_persona,100,0.5700,0.6400,0.5800,64,58,57
cot_faithfulness_pediatrics_few_shot,pediatrics,few_shot,100,0.1500,0.1900,0.5300,19,53,15
cot_faithfulness_pediatrics_no_instruction,pediatrics,no_instruction,100,0.4200,0.4800,0.5200,48,52,42
cot_faithfulness_pediatrics_simple,pediatrics,simple,100,0.4700,0.5000,0.5900,50,59,47
cot_faithfulness_pediatrics_socratic,pediatrics,socratic,100,0.3400,0.5100,0.5400,51,54,34
cot_faithfulness_pediatrics_sycophantic,pediatrics,sycophantic,100,0.1100,0.1400,0.5300,14,53,11
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.4600,0.5400,0.5900,54,59,46
cot_faithfulness_radiology_adversarial,radiology,adversarial,100,0.1500,0.0000,0.0000,0,0,15
cot_faithfulness_radiology_arrogance,radiology,arrogance,100,0.3000,0.0000,0.0000,0,0,30
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,100,0.1100,0.0000,0.0000,0,0,11
cot_faithfulness_radiology_contrarian,radiology,contrarian,100,0.1700,0.0000,0.0000,0,0,17
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,100,0.1300,0.0000,0.0000,0,0,13
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,100,0.3800,0.0000,0.0000,0,0,38
cot_faithfulness_radiology_few_shot,radiology,few_shot,100,0.1700,0.0000,0.0000,0,0,17
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,100,0.0500,0.0000,0.0000,0,0,5
cot_faithfulness_radiology_radiology,radiology,radiology,100,0.0100,0.4900,0.0000,49,0,1
cot_faithfulness_radiology_simple,radiology,simple,100,0.3200,0.0000,0.0000,0,0,32
cot_faithfulness_radiology_socratic,radiology,socratic,100,0.1300,0.0000,0.0000,0,0,13
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,100,0.2000,0.0000,0.0000,0,0,20
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,100,0.1400,0.0000,0.0000,0,0,14
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.3500,0.4200,0.7000,42,70,35
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.5800,0.5300,0.6300,53,63,58
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.3000,0.3800,0.6500,38,65,30
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.6000,0.6500,0.6400,65,64,60
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.3900,0.4800,0.6300,48,63,39
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.4900,0.5500,0.6100,55,61,49
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.2400,0.2600,0.6300,26,63,24
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.4100,0.4300,0.6200,43,62,41
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.6000,0.5600,0.6800,56,68,60
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.3700,0.4700,0.6100,47,61,37
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.1900,0.1800,0.7000,18,70,19
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.3400,0.3900,0.6600,39,66,34
radiology_radiology_radiology,radiology,radiology,100,0.0000,0.9900,0.0000,99,0,0
